club,gp,w,l,d,pts,gf,ga,gd,conf,payroll,roster,ppg,payroll_m,cost_per_point,pts_per_10m,ppg_pred,residual
Nashville SC,14,10,1,3,33,31,11,20,East,22989086.0,30,2.357142857142857,22.989086,696638.9696969697,14.354637674590457,1.4821818749800908,0.8749609821627664
San Jose Earthquakes,15,10,3,2,32,34,15,19,West,15825282.0,32,2.1333333333333333,15.825282,494540.0625,20.220808703440483,1.266293584071125,0.8670397492622084
Vancouver Whitecaps,14,10,2,2,32,34,12,22,West,24559629.0,32,2.2857142857142856,24.559629,767488.40625,13.029512782949613,1.5203887286796327,0.7653255570346529
Real Salt Lake,14,8,4,2,26,26,19,7,West,15288195.0,38,1.8571428571428572,15.288195,588007.5,17.006585800351186,1.2463312438587515,0.6108116132841057
Seattle Sounders FC,13,7,3,3,24,17,11,6,West,19092219.0,28,1.8461538461538463,19.092219,795509.125,12.570566051017957,1.3747966207371807,0.4713572254166656
FC Dallas,15,7,4,4,25,30,22,8,West,14539074.0,36,1.6666666666666667,14.539074,581562.96,17.195042820471233,1.2172841935620529,0.4493824731046139
Chicago Fire,14,8,4,2,26,27,16,11,East,21733136.0,31,1.8571428571428572,21.733136,835889.8461538461,11.963298807866476,1.4497004252279435,0.4074424319149137
New England Revolution,14,8,5,1,25,22,18,4,East,19411614.32,30,1.7857142857142858,19.41161432,776464.5728,12.878887653481875,1.3843885674526533,0.40132571826163255
Minnesota United,15,6,5,4,22,18,22,-4,West,15552855.0,34,1.4666666666666666,15.552855,706947.9545454546,14.14531287020936,1.2562542218950679,0.2104124447715987
Houston Dynamo,14,7,6,1,22,19,23,-4,West,20912912.0,29,1.5714285714285714,20.912912,950586.9090909091,10.519816656809917,1.4274581373384176,0.14397043409015375
Inter Miami,15,9,2,4,31,39,28,11,East,54574541.0,27,2.066666666666667,54.574541,1760469.064516129,5.680304301597333,1.9820221953064348,0.08464447136023212
New York Red Bulls,15,6,5,4,22,25,32,-7,East,21651691.0,35,1.4666666666666666,21.651691,984167.7727272727,10.160869190309432,1.4475297278372619,0.019136938829404704
DC United,15,4,5,6,18,21,25,-4,East,14546167.0,30,1.2,14.546167,808120.3888888889,12.374393886719435,1.217566180841878,-0.01756618084187811
Charlotte FC,15,6,6,3,21,24,23,1,East,21460657.0,31,1.4,21.460657,1021936.0476190476,9.785348137291416,1.4424060236055762,-0.042406023605576326
LAFC,15,7,5,3,24,24,17,7,West,32648541.0,30,1.6,32.648541,1360355.875,7.3510176151516236,1.6849864609481848,-0.08498646094818474
Colorado Rapids,15,5,9,1,16,25,24,1,West,14127613.04,30,1.0666666666666667,14.12761304,882975.815,11.325338508846928,1.200686292446779,-0.13401962578011228
FC Cincinnati,15,5,5,5,20,36,37,-1,East,23472623.0,29,1.3333333333333333,23.472623,1173631.15,8.520564574312806,1.4942162191556374,-0.16088288582230414
CF Montreal,14,4,8,2,14,22,31,-9,East,13418254.0,31,1.0,13.418254,958446.7142857143,10.433548209774536,1.1709026432946725,-0.17090264329467253
New York City FC,15,5,6,4,19,25,21,4,East,21539612.0,36,1.2666666666666666,21.539612,1133663.7894736843,8.820957406289399,1.4445291760101853,-0.17786250934351866
St. Louis City SC,14,4,6,4,16,16,20,-4,West,18809928.0,30,1.1428571428571428,18.809928,1175620.5,8.506146328683448,1.3661844334173967,-0.2233272905602539
LA Galaxy,15,5,5,5,20,22,22,0,West,26431650.0,29,1.3333333333333333,26.43165,1321582.5,7.566686150883505,1.5628587283129605,-0.2295253949796272
Orlando City SC,15,4,9,2,14,23,44,-21,East,13732571.0,27,0.9333333333333333,13.732571,980897.9285714285,10.19474066436649,1.1842894335560192,-0.2509561002226859
Sporting Kansas City,14,3,9,2,11,14,36,-22,West,12359396.0,24,0.7857142857142857,12.359396,1123581.4545454546,8.900111299937311,1.123378854797549,-0.33766456908326326
Portland Timbers,14,4,8,2,14,22,28,-6,West,18450879.0,26,1.0,18.450879,1317919.9285714286,7.587714384772672,1.3550418184479156,-0.3550418184479156
San Diego FC,15,4,6,5,17,30,27,3,West,24391009.0,29,1.1333333333333333,24.391009,1434765.2352941176,6.969781364928363,1.51640559701422,-0.38307226368088676
Columbus Crew,15,4,7,4,16,21,23,-2,East,22338020.0,31,1.0666666666666667,22.33802,1396126.25,7.162676011571303,1.465571894919501,-0.39890522825283425
Toronto FC,14,3,6,5,14,22,29,-7,East,21391233.0,29,1.0,21.391233,1527945.2142857143,6.544737276247703,1.4405327024065855,-0.4405327024065855
Austin FC,15,3,7,5,14,19,31,-12,West,19893439.0,26,0.9333333333333333,19.893439,1420959.9285714286,7.037496131262172,1.3985639446486378,-0.4652306113153044
Philadelphia Union,15,1,10,4,7,18,30,-12,East,11696829.0,32,0.4666666666666667,11.696829,1670975.5714285714,5.984527943428087,1.0915233571940721,-0.6248566905274054
Atlanta United,14,3,9,2,11,14,23,-9,East,27884034.64,29,0.7857142857142857,27.88403464,2534912.24,3.9449097456723,1.5937853260942063,-0.8080710403799206
