club,gini,top_share,top_to_median,payroll,roster,gp,pts,ppg,gini_group
Inter Miami,0.7755499278195181,0.5191675913499666,53.71247962085308,54574541.0,27,15,31,2.066666666666667,Top-heavy
Atlanta United,0.6991763938723501,0.2822762237107879,46.02923976608187,27884034.64,29,14,11,0.7857142857142857,Top-heavy
San Diego FC,0.6958637490362634,0.3826546495062996,38.65262333983526,24391009.0,29,15,17,1.1333333333333333,Top-heavy
Nashville SC,0.6685721621700547,0.25807898582831873,25.264708825614743,22989086.0,30,14,33,2.357142857142857,Top-heavy
FC Cincinnati,0.6459770131591906,0.20178447887992748,18.043470476190475,23472623.0,29,15,20,1.3333333333333333,Top-heavy
Sporting Kansas City,0.6229046980397208,0.2675090271401612,24.85556520333638,12359396.0,24,14,11,0.7857142857142857,Top-heavy
LA Galaxy,0.6183478310387682,0.21913834361456813,15.044644155844155,26431650.0,29,15,20,1.3333333333333333,Top-heavy
LAFC,0.6115403166101663,0.34160338129657924,17.092742346440293,32648541.0,30,15,24,1.6,Top-heavy
Chicago Fire,0.6015000023392256,0.2568338964059306,16.02433877927156,21733136.0,31,14,26,1.8571428571428572,Top-heavy
Toronto FC,0.600925915577754,0.24616005070862443,15.272187547130411,21391233.0,29,14,14,1.0,Top-heavy
New York Red Bulls,0.595982087496076,0.2787599823034607,23.462919985538853,21651691.0,35,15,22,1.4666666666666666,Middle
New England Revolution,0.5758020964705284,0.25510928243086994,15.24695997278254,19411614.32,30,14,25,1.7857142857142858,Middle
Vancouver Whitecaps,0.5685051001279375,0.2097956772881219,11.52876315094669,24559629.0,32,14,32,2.2857142857142856,Middle
Columbus Crew,0.5505529600321812,0.16168621927995408,6.814622641509434,22338020.0,31,15,16,1.0666666666666667,Middle
New York City FC,0.5497481260727137,0.16945523438398055,10.547867813542595,21539612.0,36,15,19,1.2666666666666666,Middle
San Jose Earthquakes,0.5453463838748656,0.2696975004931982,16.239986606319,15825282.0,32,15,32,2.1333333333333333,Middle
Charlotte FC,0.5404897150677528,0.14051587516635675,8.235035651183685,21460657.0,31,15,21,1.4,Middle
Austin FC,0.5398698825740023,0.22142978898721333,9.474391719317113,19893439.0,26,15,14,0.9333333333333333,Middle
Seattle Sounders FC,0.535562372668303,0.1406332076957634,5.9206174200661525,19092219.0,28,13,24,1.8461538461538463,Middle
Colorado Rapids,0.51771370978415,0.15770979808773133,11.056671281753534,14127613.04,30,15,16,1.0666666666666667,Middle
Portland Timbers,0.5061451939915291,0.18562801262747428,7.506849315068493,18450879.0,26,14,14,1.0,Balanced
Real Salt Lake,0.500272205209038,0.14556983345646757,11.393830794829132,15288195.0,38,14,26,1.8571428571428572,Balanced
DC United,0.49934432211592217,0.16148584022168863,7.187860502262845,14546167.0,30,15,18,1.2,Balanced
St. Louis City SC,0.49485289541423727,0.14619939002424678,6.637950490544541,18809928.0,30,14,16,1.1428571428571428,Balanced
FC Dallas,0.4939695991337245,0.19808689329182863,10.498974709501026,14539074.0,36,15,25,1.6666666666666667,Balanced
Houston Dynamo,0.48771829213157547,0.14346218259800453,5.205276389320222,20912912.0,29,14,22,1.5714285714285714,Balanced
Minnesota United,0.4715802396560178,0.1004767291921644,5.609318353135432,15552855.0,34,15,22,1.4666666666666666,Balanced
CF Montreal,0.448490464388432,0.1573379070034,5.149268292682927,13418254.0,31,14,14,1.0,Balanced
Orlando City SC,0.4432278558763687,0.12948777035268924,3.3535124941065537,13732571.0,27,15,14,0.9333333333333333,Balanced
Philadelphia Union,0.3946623455596385,0.10098890904534896,3.5202086049543677,11696829.0,32,15,7,0.4666666666666667,Balanced
