club,name,position,bucket,guaranteed_comp,ppg
Atlanta United,Miguel Almirón,Right Wing,Attack,7871000.0,0.7857142857142857
Austin FC,Facundo Torres,Right Wing,Attack,4405000.0,0.9333333333333333
CF Montreal,Iván Jaime,Attacking Midfield,Attack,2111200.0,1.0
Charlotte FC,Pep Biel,Attacking Midfield,Attack,3015563.0,1.4
Chicago Fire,Jonathan Bamba,Left Wing,Attack,5581806.0,1.8571428571428572
Colorado Rapids,Paxten Aaronson,Attacking Midfield,Attack,2228063.0,1.0666666666666667
Columbus Crew,Wessam Abou Ali,Center Forward,Attack,3611750.0,1.0666666666666667
DC United,Tai Baribo,Center Forward,Attack,2349000.0,1.2
FC Cincinnati,Evander da Silva Ferreira,Attacking Midfield,Attack,4736411.0,1.3333333333333333
FC Dallas,Petar Musa,Center Forward,Attack,2880000.0,1.6666666666666667
Houston Dynamo,Ezequiel Ponce,Center Forward,Attack,3000212.0,1.5714285714285714
Inter Miami,Lionel Messi,Right Wing,Attack,28333333.0,2.066666666666667
LA Galaxy,Ricard Puig Martí,Central Midfield,Midfield,5792188.0,1.3333333333333333
LAFC,Heung-min Son,Left Wing,Attack,11152852.0,1.6
Minnesota United,Kelvin Yeboah,Center Forward,Attack,1562700.0,1.4666666666666666
Nashville SC,Sam Surridge,Center Forward,Attack,5933000.0,2.357142857142857
New England Revolution,Carles Gil,Attacking Midfield,Attack,4952083.0,1.7857142857142858
New York City FC,Nicolás Fernández Mercau,Center Forward,Attack,3650000.0,1.2666666666666666
New York Red Bulls,Emil Forsberg,Left Wing,Attack,6035625.0,1.4666666666666666
Orlando City SC,Martín Ojeda,Attacking Midfield,Attack,1778200.0,0.9333333333333333
Philadelphia Union,Andre Blake,Goalkeeper,Goalkeeper,1181250.0,0.4666666666666667
Portland Timbers,David Da Costa,Attacking Midfield,Attack,3425000.0,1.0
Real Salt Lake,Morgan Guilavogui,Right Wing,Attack,2225500.0,1.8571428571428572
San Diego FC,Hirving Lozano,Left Wing,Attack,9333333.0,1.1333333333333333
San Jose Earthquakes,Timo Werner,Center Forward,Attack,4268039.0,2.1333333333333333
Seattle Sounders FC,Albert Rusnák,Attacking Midfield,Attack,2685000.0,1.8461538461538463
Sporting Kansas City,Dejan Joveljić,Center Forward,Attack,3306250.0,0.7857142857142857
St. Louis City SC,Roman Bürki,Goalkeeper,Goalkeeper,2750000.0,1.1428571428571428
Toronto FC,Josh Sargent,Center Forward,Attack,5265667.0,1.0
Vancouver Whitecaps,Thomas Müller,Center Forward/Attacking Midfi,Attack,5152504.0,2.2857142857142856
